msa,race,income,age,naics,wfh,essential,sick,p_race_inc
1600,1,1,2,61,1,0,1,.044278812
1600,3,1,2,61,1,0,1,.16979934
1600,1,3,2,61,1,0,1,.032615248
1600,3,2,2,61,1,0,1,.23994033
1600,2,2,2,61,1,0,1,.086046711
1600,3,3,2,61,1,0,1,.25920516
1600,2,3,2,61,1,0,1,.052715115
1600,2,1,2,61,1,0,1,.035393931
1600,1,2,2,61,1,0,1,.080005333
1600,1,2,2,62,0,1,0,.081326149
1600,2,2,2,62,0,1,0,.13633403
1600,1,1,2,62,0,1,0,.043125927
1600,2,3,2,62,0,1,0,.059374694
1600,2,1,2,62,0,1,0,.039048836
1600,3,2,2,62,0,1,0,.19945198
1600,3,1,2,62,0,1,0,.073570184
1600,1,3,2,62,0,1,0,.047064696
1600,3,3,2,62,0,1,0,.32070348
1600,1,2,2,62,0,1,1,.16041082
1600,3,1,2,62,0,1,1,.067775659
1600,3,2,2,62,0,1,1,.21360612
1600,1,3,2,62,0,1,1,.040804937
1600,2,3,2,62,0,1,1,.055516902
1600,1,1,2,62,0,1,1,.061521333
1600,2,2,2,62,0,1,1,.12407476
1600,2,1,2,62,0,1,1,.031572428
1600,3,3,2,62,0,1,1,.24471702
1600,3,3,2,71,0,0,0,.40582132
1600,1,1,2,71,0,0,0,.032376643
1600,3,2,2,71,0,0,0,.19756271
1600,2,2,2,71,0,0,0,.10111085
1600,3,1,2,71,0,0,0,.10850777
1600,1,2,2,71,0,0,0,.03943453
1600,1,3,2,71,0,0,0,.027881091
1600,2,1,2,71,0,0,0,.032761369
1600,2,3,2,71,0,0,0,.054543715
1600,3,1,2,71,1,0,0,.10197865
1600,1,1,2,71,1,0,0,.028215434
1600,2,3,2,71,1,0,0,.054922029
1600,2,2,2,71,1,0,0,.094609387
1600,1,3,2,71,1,0,0,.035872977
1600,3,2,2,71,1,0,0,.20886612
1600,2,1,2,71,1,0,0,.030171882
1600,1,2,2,71,1,0,0,.037592903
1600,3,3,2,71,1,0,0,.4077706
1600,2,1,2,71,0,0,1,.027716227
1600,3,2,2,71,0,0,1,.22431728
1600,1,3,2,71,0,0,1,.023705909
1600,1,1,2,71,0,0,1,.051321495
1600,2,3,2,71,0,0,1,.036767941
1600,1,2,2,71,0,0,1,.07870277
1600,2,2,2,71,0,0,1,.088843748
1600,3,1,2,71,0,0,1,.10592283
1600,3,3,2,71,0,0,1,.36270177
1600,3,2,2,71,1,0,1,.23784646
1600,2,1,2,71,1,0,1,.025600322
1600,1,2,2,71,1,0,1,.075247169
1600,3,3,2,71,1,0,1,.36551201
1600,1,3,2,71,1,0,1,.030590402
1600,1,1,2,71,1,0,1,.044856481
1600,3,1,2,71,1,0,1,.099841006
1600,2,3,2,71,1,0,1,.03713147
1600,2,2,2,71,1,0,1,.083374694
1600,3,1,2,72,0,0,0,.10112864
1600,2,3,2,72,0,0,0,.060501799
1600,3,3,2,72,0,0,0,.22219791
1600,1,2,2,72,0,0,0,.061673786
1600,2,1,2,72,0,0,0,.074569143
1600,1,1,2,72,0,0,0,.037225105
1600,2,2,2,72,0,0,0,.22939132
