age_i,naics_i,contactlvl,age_j,naics_j,num_contact_per_person_day,num_people
2,11,hh,3,51,.010169491,295
2,11,neighbor,3,51,.18644068,295
2,11,hh,3,52,.016949153,295
2,11,neighbor,3,52,.31525424,295
2,11,hh,3,53,.0067796609,295
2,11,neighbor,3,53,.17627119,295
2,11,hh,3,54,.013559322,295
2,11,neighbor,3,54,.29830509,295
2,11,hh,3,55,.010169491,295
2,11,neighbor,3,55,.17966102,295
2,11,hh,3,56,.010169491,295
2,11,neighbor,3,56,.33559322,295
2,11,neighbor,3,61,.047457628,295
2,11,hh,3,62,.020338982,295
2,11,neighbor,3,62,.40000001,295
2,11,neighbor,3,71,.027118644,295
2,11,hh,3,72,.0033898305,295
2,11,neighbor,3,72,.2440678,295
2,11,hh,3,81,.0067796609,295
2,11,neighbor,3,81,.22711864,295
2,11,neighbor,3,92,.0033898305,295
2,11,hh,4,0,.020338982,295
2,11,neighbor,4,0,1.4305085,295
2,11,work,4,11,.13559322,295
2,11,neighbor,4,22,.0067796609,295
2,11,neighbor,4,23,.10169491,295
2,11,hh,4,31,.0033898305,295
2,11,neighbor,4,31,.25762713,295
2,11,hh,4,42,.0033898305,295
2,11,neighbor,4,42,.050847456,295
2,11,hh,4,44,.0067796609,295
2,11,neighbor,4,44,.18305084,295
2,11,hh,4,48,.0033898305,295
2,11,neighbor,4,48,.088135593,295
2,11,neighbor,4,51,.047457628,295
2,11,neighbor,4,52,.098305084,295
2,11,neighbor,4,53,.016949153,295
2,11,hh,4,54,.0067796609,295
2,11,neighbor,4,54,.12542373,295
2,11,hh,4,55,.0067796609,295
2,11,neighbor,4,55,.061016951,295
2,11,hh,4,56,.0033898305,295
2,11,neighbor,4,56,.11525424,295
2,11,neighbor,4,61,.020338982,295
2,11,neighbor,4,62,.16271186,295
2,11,neighbor,4,71,.0067796609,295
2,11,neighbor,4,72,.11864407,295
2,11,neighbor,4,81,.094915256,295
2,11,hh,5,0,.044067796,295
2,11,neighbor,5,0,1.2644068,295
2,11,hh,6,0,.0067796609,295
2,11,neighbor,6,0,.77288133,295
2,21,hh,0,0,.31703618,5277
2,21,neighbor,0,0,4.0435853,5277
2,21,hh,1,0,.82755351,5277
2,21,neighbor,1,0,10.461436,5277
2,21,hh,2,0,.33200681,5277
2,21,neighbor,2,0,6.7231383,5277
2,21,hh,2,11,.00018950162,5277
2,21,neighbor,2,11,.0036005306,5277
2,21,hh,2,21,.0030320259,5277
2,21,neighbor,2,21,.085654728,5277
2,21,work,2,21,13.303392,5277
2,21,hh,2,22,.00094750803,5277
2,21,neighbor,2,22,.047943909,5277
2,21,hh,2,23,.040553346,5277
2,21,neighbor,2,23,1.0854652,5277
2,21,hh,2,31,.10763691,5277
2,21,neighbor,2,31,3.1053629,5277
2,21,hh,2,42,.034110289,5277
2,21,neighbor,2,42,1.1019518,5277
2,21,hh,2,44,.080917187,5277
2,21,neighbor,2,44,2.2408566,5277
2,21,hh,2,48,.039795339,5277
2,21,neighbor,2,48,1.1447792,5277
2,21,hh,2,51,.024824711,5277
2,21,neighbor,2,51,.81409889,5277
2,21,hh,2,52,.04491188,5277
2,21,neighbor,2,52,1.4515823,5277
2,21,hh,2,53,.01989767,5277
2,21,neighbor,2,53,.55921924,5277
2,21,hh,2,54,.068789087,5277
2,21,neighbor,2,54,1.882509,5277
2,21,hh,2,55,.019518666,5277
2,21,neighbor,2,55,.60356265,5277
2,21,hh,2,56,.052302446,5277
2,21,neighbor,2,56,1.6151222,5277
2,21,hh,2,61,.012128104,5277
2,21,neighbor,2,61,.32897478,5277
2,21,hh,2,62,.074663632,5277
2,21,neighbor,2,62,2.0934243,5277
2,21,hh,2,71,.0064430549,5277
2,21,neighbor,2,71,.16789843,5277
2,21,hh,2,72,.042637862,5277
2,21,neighbor,2,72,1.2075043,5277
2,21,hh,2,81,.030888762,5277
2,21,neighbor,2,81,.84157664,5277
2,21,hh,2,92,.00037900324,5277
2,21,neighbor,2,92,.0056850482,5277
2,21,hh,3,0,.043774873,5277
2,21,neighbor,3,0,1.5721054,5277
2,21,neighbor,3,11,.0011370097,5277
2,21,hh,3,21,.00075800647,5277
2,21,neighbor,3,21,.018192155,5277
2,21,work,3,21,3.4021225,5277
2,21,hh,3,22,.00037900324,5277
2,21,neighbor,3,22,.013265112,5277
2,21,hh,3,23,.0036005306,5277
2,21,neighbor,3,23,.24635209,5277
2,21,hh,3,31,.014781126,5277
2,21,neighbor,3,31,.68902785,5277
2,21,hh,3,42,.0056850482,5277
2,21,neighbor,3,42,.24294107,5277
2,21,hh,3,44,.010991094,5277
2,21,neighbor,3,44,.50938034,5277
2,21,hh,3,48,.0051165433,5277
2,21,neighbor,3,48,.23971954,5277
2,21,hh,3,51,.0049270419,5277
2,21,neighbor,3,51,.18400607,5277
2,21,hh,3,52,.007769566,5277
2,21,neighbor,3,52,.32651126,5277
2,21,hh,3,53,.0036005306,5277
2,21,neighbor,3,53,.12374455,5277
2,21,hh,3,54,.010801592,5277
2,21,neighbor,3,54,.39814287,5277
2,21,hh,3,55,.0041690352,5277
2,21,neighbor,3,55,.13530415,5277
2,21,hh,3,56,.0081485696,5277
2,21,neighbor,3,56,.36895964,5277
2,21,hh,3,61,.0018950161,5277
2,21,neighbor,3,61,.068220578,5277
2,21,hh,3,62,.013265112,5277
2,21,neighbor,3,62,.4928937,5277
2,21,neighbor,3,71,.034868296,5277
2,21,hh,3,72,.0079590678,5277
2,21,neighbor,3,72,.29277998,5277
2,21,hh,3,81,.0037900321,5277
2,21,neighbor,3,81,.18646958,5277
2,21,neighbor,3,92,.0013265113,5277
2,21,hh,4,0,.032404777,5277
2,21,neighbor,4,0,1.7432253,5277
2,21,neighbor,4,11,.00075800647,5277
2,21,neighbor,4,21,.0066325562,5277
2,21,work,4,21,1.354368,5277
2,21,hh,4,22,.00018950162,5277
2,21,neighbor,4,22,.0053060451,5277
2,21,hh,4,23,.0013265113,5277
2,21,neighbor,4,23,.088118248,5277
2,21,hh,4,31,.0026530225,5277
2,21,neighbor,4,31,.26719728,5277
2,21,hh,4,42,.0011370097,5277
2,21,neighbor,4,42,.094940305,5277
2,21,hh,4,44,.0032215274,5277
2,21,neighbor,4,44,.19310214,5277
2,21,hh,4,48,.0017055145,5277
2,21,neighbor,4,48,.098540835,5277
2,21,hh,4,51,.00056850485,5277
2,21,neighbor,4,51,.072958119,5277
2,21,hh,4,52,.0015160129,5277
2,21,neighbor,4,52,.12961911,5277
2,21,hh,4,53,.00075800647,5277
2,21,neighbor,4,53,.046806898,5277
2,21,hh,4,54,.0037900321,5277
2,21,neighbor,4,54,.15880235,5277
2,21,hh,4,55,.00056850485,5277
2,21,neighbor,4,55,.047375403,5277
2,21,hh,4,56,.0028425241,5277
2,21,neighbor,4,56,.12753458,5277
2,21,hh,4,61,.00056850485,5277
2,21,neighbor,4,61,.030888762,5277
2,21,hh,4,62,.0018950161,5277
2,21,neighbor,4,62,.18457457,5277
2,21,hh,4,71,.00018950162,5277
2,21,neighbor,4,71,.013265112,5277
2,21,hh,4,72,.0018950161,5277
2,21,neighbor,4,72,.10744742,5277
2,21,hh,4,81,.00056850485,5277
2,21,neighbor,4,81,.071442105,5277
2,21,neighbor,4,92,.00037900324,5277
2,21,hh,5,0,.018950161,5277
